id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
289,180189487,TT Elite Series,Kacper Slawinski,Stanislaw Wnek,2025-08-26 22:20:00,To Win,Home,,2.75,2.0,37.5,1.0,1.75,2025-08-26 21:15:10,2025-08-27 12:56:03,Kacper Slawinski
291,180248246,TT Elite Series,Dawid Michna,Jakub Kosowski,2025-08-27 00:20:00,To Win,Home,,2.62,1.923076923076923,36.24000000000001,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,Jakub Kosowski
292,180248233,TT Elite Series,Marcin Jadczyk,Krzysztof Wloczko,2025-08-27 00:35:00,To Win,Away,,2.75,2.0202020202020203,36.12499999999999,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,Marcin Jadczyk
293,180248233,TT Elite Series,Marcin Jadczyk,Krzysztof Wloczko,2025-08-27 00:35:00,Total,Under U 73.5,73.5,1.83,1.5384615384615383,18.95000000000001,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,87
294,180248247,TT Elite Series,Michal Murawski,Mateusz Golebiowski,2025-08-27 00:40:00,To Win,Home,,4.33,2.380952380952381,81.86,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,Mateusz Golebiowski
295,180248247,TT Elite Series,Michal Murawski,Mateusz Golebiowski,2025-08-27 00:40:00,Total,Over O 70.5,70.5,1.83,1.4285714285714286,28.09999999999999,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,55
296,180248234,TT Elite Series,Adrian Spychala,Maciej Nowalinski,2025-08-27 01:00:00,To Win,Home,,2.2,1.7241379310344829,27.6,0.0,-1.0,2025-08-26 21:15:11,2025-08-27 12:56:03,Maciej Nowalinski
299,180248252,TT Elite Series,Mateusz Golebiowski,Artur Grela,2025-08-27 01:25:00,To Win,Away,,3.5,2.3255813953488373,50.499999999999964,0.0,-1.0,2025-08-26 21:15:12,2025-08-27 12:56:03,Mateusz Golebiowski
300,180248252,TT Elite Series,Mateusz Golebiowski,Artur Grela,2025-08-27 01:25:00,Total,Over O 72.5,72.5,1.9,1.5384615384615383,23.5,1.0,0.8999999999999999,2025-08-26 21:15:12,2025-08-27 12:56:03,103
301,180248236,TT Elite Series,Michal Malachowski,Adrian Spychala,2025-08-27 01:45:00,Total,Under U 75.5,75.5,1.83,1.4285714285714286,28.09999999999999,1.0,0.8300000000000001,2025-08-26 21:15:12,2025-08-27 12:56:03,73
302,180248253,TT Elite Series,Michal Murawski,Jakub Kosowski,2025-08-27 01:50:00,To Win,Home,,2.62,1.6666666666666667,57.199999999999996,1.0,1.62,2025-08-26 21:15:12,2025-08-27 12:56:04,Michal Murawski
