id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result,home_elo_at_bet,away_elo_at_bet,elo_prob_home,implied_prob,bet_edge,min_roi_required,bet_decision_reason,player_form_home,player_form_away,h2h_summary,bet_timestamp
113,182843491,Czech Liga Pro,Vladimir Postelt,Jiri Plachy,2025-10-12T16:30:00,Total,Under U 77.5,77.5,1.83,1.5637860082304527,17.023684210526312,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:15,99 games,1468.819889744216,1535.3035459200341,0.40547327853704995,0.5464480874316939,0.09302559677883238,15.0,Aceita: Under em Jogo Parelho com ROI 17.02% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:12.558633
114,182843492,Czech Liga Pro,Pavel Berdych,Tomas Regner,2025-10-12T16:30:00,Total,Under U 78.5,78.5,1.83,1.3333333333333333,37.25000000000001,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:15,57 games,1534.5273171405993,1431.8491816597764,0.6436089780320696,0.5464480874316939,0.20355191256830607,25.0,Aceita: Under em Jogo Desequilibrado com ROI 37.25% >= 25%,N/A,N/A,N/A,2025-10-12T23:03:12.853168
115,182843494,Czech Liga Pro,Dan Volhejn,Martin Huk,2025-10-12T18:00:00,Total,Under U 78.5,78.5,1.83,1.5405405405405406,18.789473684210535,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:18,55 games,1491.67242941976,1503.259010092043,0.4833317487615306,0.5464480874316939,0.10267471958584995,15.0,Aceita: Under em Jogo Parelho com ROI 18.79% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:13.391581
116,182843499,Czech Liga Pro,Jaroslav Bares,Jaroslav Prokupek,2025-10-12T18:30:00,Total,Over O 75.5,75.5,1.83,1.4655172413793103,24.87058823529412,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:20,86 games,1509.1498608887096,1384.9306838295072,0.6715189449798442,0.5464480874316939,0.13590485374477668,15.0,Aceita: Over em Jogo Desequilibrado com ROI 24.87% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:14.622744
117,182843505,Czech Liga Pro,Martin Sopko,Martin Sychra,2025-10-12T19:30:00,Total,Under U 77.5,77.5,1.83,1.4651162790697674,24.90476190476191,1.0,0.8300000000000001,2025-10-13 03:03:42,2025-10-13 03:05:20,51 games,1453.4217205297862,1543.466216049854,0.3732409977537176,0.5464480874316939,0.13609159510798863,15.0,Aceita: Under em Jogo Parelho com ROI 24.90% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:15.880958
118,182843512,Czech Liga Pro,Martin Huk,Matous Klimenta,2025-10-12T20:30:00,Total,Under U 77.5,77.5,1.83,1.5254237288135593,19.966666666666676,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:21,100 games,1503.259010092043,1562.8638802416526,0.41505343900852015,0.5464480874316939,0.10910746812386163,15.0,Aceita: Under em Jogo Parelho com ROI 19.97% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:17.411027
119,182843513,Czech Liga Pro,Frantisek Just,Martin Sychra,2025-10-12T20:30:00,Total,Under U 76.5,76.5,1.83,1.5864406779661018,15.352564102564104,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:22,96 games,1570.3220796652026,1543.466216049854,0.5385719041803663,0.5464480874316939,0.0838937929101864,15.0,Aceita: Under em Jogo Parelho com ROI 15.35% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:17.669856
120,182843514,Czech Liga Pro,Tomas Barta,Jaroslav Bares,2025-10-12T20:30:00,Total,Over O 73.5,73.5,1.83,1.389396709323583,31.711842105263177,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:05:22,53 games,1473.4072176030327,1509.1498608887096,0.44874289864239214,0.5464480874316939,0.1732887546735693,15.0,Aceita: Over em Jogo Desequilibrado com ROI 31.71% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:17.825752
121,182888650,Czech Liga Pro,Milan Cetner,Martin Bohac,2025-10-12T08:00:00,Total,Under U 77.5,77.5,1.83,1.4285714285714286,28.09999999999999,0.0,-1.0,2025-10-13 03:03:42,2025-10-13 03:04:53,84 games,1565.4006615246285,1534.1739178636383,0.5448182805219821,0.5464480874316939,0.15355191256830603,15.0,Aceita: Under em Jogo Parelho com ROI 28.10% >= 15%,N/A,N/A,N/A,2025-10-12T23:03:22.214366
208,182892250,Czech Liga Pro,Petr Bruzek,Petr Picek,2025-10-13T22:00:00,Total,Under U 75.5,75.5,1.83,1.3404255319148937,36.52380952380953,0.0,-1.0,2025-10-13 08:22:37,2025-10-14 08:19:52,87 games,1523.3183206596589,1430.290782128193,0.6307672097345411,0.5464480874316939,0.19958365860005212,15.0,Aceita: Under em Jogo Parelho com ROI 36.52% >= 15%,N/A,N/A,N/A,2025-10-13T08:22:31.382943
