id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
162,Czech Liga Pro,Josef Medek,Petr Macela,2025-08-27 16:00:00,To Win,Away,,2.2,120.00000000000001,,,,2025-08-26 21:28:07
163,Czech Liga Pro,Josef Medek,Petr Macela,2025-08-27 16:00:00,Total,Under U 75.5,75.5,1.83,37.25000000000001,,,,2025-08-27 12:43:49
164,Czech Liga Pro,Robin Pacha,Ondrej Cmerda,2025-08-27 16:30:00,Total,Under U 76.5,76.5,1.83,26.692307692307693,,,,2025-08-27 12:43:50
165,Czech Liga Pro,Yurii Holovatiuk,Dmitro Parhomenko,2025-08-27 16:30:00,Total,Over O 77.5,77.5,1.83,28.09999999999999,,,,2025-08-27 12:43:50
166,Czech Liga Pro,Jan Zajicek,Erik Mares,2025-08-27 16:30:00,To Win,Home,,1.72,41.89999999999999,,,,2025-08-27 12:43:49
170,Czech Liga Pro,Martin Huk,Ales Bayer,2025-08-27 18:30:00,To Win,Away,,2.62,57.199999999999996,,,,2025-08-27 12:43:49
171,Czech Liga Pro,Tomas Kucera,Vladimir Kubat,2025-08-27 18:30:00,To Win,Away,,3.75,125.0,,,,2025-08-26 21:28:07
172,Czech Liga Pro,Jiri Havel,Pavel Sprynar,2025-08-27 19:00:00,To Win,Home,,1.9,32.999999999999986,,,,2025-08-27 12:43:49
173,Czech Liga Pro,Martin Sychra,Richard Krejci,2025-08-27 19:30:00,To Win,Away,,2.37,103.81999999999998,,,,2025-08-26 21:28:07
174,Czech Liga Pro,Jiri Buryan,Tomas Kucera,2025-08-27 19:30:00,Total,Under U 76.5,76.5,1.83,64.70000000000002,,,,2025-08-26 21:28:07
175,Czech Liga Pro,Martin Sobisek,Daniel Tuma,2025-08-27 20:00:00,To Win,Away,,3.25,62.5,1.0,2.25,Daniel Tuma,2025-08-26 21:28:07
176,Czech Liga Pro,Dan Volhejn,Ales Bayer,2025-08-27 20:00:00,To Win,Away,,2.5,80.0,1.0,1.5,Ales Bayer,2025-08-26 21:28:07
177,Czech Liga Pro,Tomas Janata,Richard Krejci,2025-08-27 20:30:00,To Win,Away,,1.53,31.579999999999984,1.0,0.53,Richard Krejci,2025-08-27 12:43:50
179,Czech Liga Pro,Jiri Havel,Tomas Kucera,2025-08-27 20:30:00,Total,Under U 75.5,75.5,1.83,37.25000000000001,0.0,-1.0,95,2025-08-27 12:43:49
180,Czech Liga Pro,Ales Bayer,Jiri Ruzicka,2025-08-27 21:00:00,To Win,Home,,2.62,49.339999999999996,0.0,-1.0,Jiri Ruzicka,2025-08-27 12:43:49
181,Czech Liga Pro,Richard Krejci,Martin Sobisek,2025-08-27 21:30:00,To Win,Home,,2.37,89.60000000000001,0.0,-1.0,Martin Sobisek,2025-08-26 21:28:07
184,Czech Liga Pro,Vladimir Kubat,Jiri Havel,2025-08-27 22:00:00,To Win,Home,,2.5,80.0,1.0,1.5,Vladimir Kubat,2025-08-26 21:28:07
407,Czech Liga Pro,Tomas Turek,Erik Mares,2025-08-28 15:30:00,To Win,Home,,2.37,31.666666666666675,,,,2025-08-28 14:47:25
408,Czech Liga Pro,Laurent Lasota,Michal Chalupa,2025-08-28 15:30:00,To Win,Away,,1.8,80.0,,,,2025-08-28 14:47:25
409,Czech Liga Pro,Michal Hrabec,David Szotek,2025-08-28 15:30:00,To Win,Away,,1.53,53.0,,,,2025-08-28 14:47:25
412,Czech Liga Pro,Tibor Kolenic,Frantisek Briza,2025-08-28 16:00:00,To Win,Away,,2.62,31.000000000000007,,,,2025-08-28 14:47:25
413,Czech Liga Pro,Michal Chalupa,Martin Vizek,2025-08-28 16:00:00,To Win,Home,,1.83,83.0,,,,2025-08-28 14:47:25
