league_name,home_team,away_team,selection,odds,result
Setka Cup,Roman Mazur,Serhii Kryvoshyi,Under U 76.5,1.83,0.0
Setka Cup,Ihor Emets,Volodymyr Melnykov,Over O 77.5,1.83,0.0
Setka Cup,Oleksandr Shyshman,Oleksandr Lipeiko,Under U 77.5,1.83,1.0
Setka Cup,Jan Vrnak,Artur Akopyan,Over O 75.5,1.83,0.0
Setka Cup,Oleksandr Bryzhevatyi,Stefan Yakimenko,Under U 77.5,1.83,0.0
Setka Cup,Oleg Sapuzhak,Roman Mazur,Under U 77.5,1.8,1.0
Setka Cup,Vojtech Grubr,Ladislav Dobias,Over O 75.5,1.83,0.0
Setka Cup,Valerii Kolesnykov,Volodymyr Melnykov,Over O 74.5,1.83,0.0
Setka Cup,Oleksandr Lipeiko,Kyrylo Riazanovskyi,Under U 76.5,1.83,0.0
Setka Cup,Oleh Kurylenko,Dmitro Kuzmenko,Over O 75.5,1.83,0.0
Setka Cup,Roman Mazur,Denys Kozoriz,Under U 74.5,1.83,0.0
Setka Cup,Vit Kilian,Jan Vrnak,Over O 77.5,1.83,0.0
Setka Cup,Oleg Sapuzhak,Serhii Kryvoshyi,Under U 76.5,1.83,1.0
Setka Cup,Valerii Kolesnykov,Oleksandr Lipeiko,Under U 76.5,1.83,1.0
Setka Cup,Ladislav Dobias,Josef Chalupa,Over O 77.5,2.0,0.0
Setka Cup,Oleksandr Shyshman,Volodymyr Melnykov,Over O 76.5,1.83,1.0
Setka Cup,Oleksandr Syksa,Serhii Miroshnychenko,Over O 77.5,1.83,1.0
Setka Cup,Ihor Emets,Kyrylo Riazanovskyi,Under U 75.5,1.83,0.0
Setka Cup,Oleksandr Bryzhevatyi,Oleksandr Leonenko,Under U 76.5,1.83,0.0
Setka Cup,Petr Semrad,Michal Makara,Over O 76.5,1.83,1.0
Setka Cup,Ihor Emets,Oleksandr Lipeiko,Under U 75.5,1.83,0.0
Setka Cup,Serhii Miroshnychenko,Dmitro Kuzmenko,Over O 75.5,1.83,0.0
Setka Cup,Oleksandr Shyshman,Kyrylo Riazanovskyi,Under U 75.5,1.83,0.0
Setka Cup,Oleksandr Syksa,Dmitro Kuzmenko,Over O 72.5,1.83,1.0
Setka Cup,Petr Semrad,Ondrej Mezera,Over O 77.5,1.83,0.0
Setka Cup,Filip Kubos,Martin Obraz,Under U 77.5,1.72,0.0
Setka Cup,Dmytro Khairov,Oleksandr Tymofeev,Under U 75.5,1.83,1.0
Setka Cup,Pavel Hala,Adam Radkovsky,Over O 76.5,1.83,1.0
Setka Cup,Oleh Karpenko,Bohdan Zaika,Under U 77.5,1.83,1.0
Setka Cup,Oleksandr Maslovskyi,Evhenii Trehub,Over O 76.5,1.83,1.0
Setka Cup,Artem Kasyanov,Maksym Hubenko,Over O 73.5,1.83,0.0
Setka Cup,Dmytro Khairov,Oleh Karpenko,Under U 76.5,1.83,0.0
Setka Cup,Volodymyr Okopnyi,Myroslav Loboda,Under U 77.5,1.83,1.0
Setka Cup,Dmytro Khairov,Bohdan Zaika,Under U 75.5,1.83,1.0
Setka Cup,Volodymyr Korobko,Denys Maltsev,Under U 77.5,1.72,0.0
Setka Cup,Ivan Pytsko,Denys Maltsev,Under U 72.5,1.83,1.0
Setka Cup,Oleh Karpenko,Oleksandr Cherkas,Over O 75.5,2.0,0.0
Setka Cup,Bohdan Zaika,Oleksandr Tymofeev,Under U 77.5,1.83,1.0
Setka Cup,Yevhenii Sokoltsov,Hryhorii Kulishov,Under U 76.5,1.83,1.0
Setka Cup,Dmytro Rehotun,Oleksandr Naida,Under U 75.5,1.83,0.0
Setka Cup,Kostiantyn Hrynenko,Dmytro Rehotun,Under U 75.5,1.83,0.0
Setka Cup,Ivan Pytsko,Volodymyr Korobko,Under U 75.5,1.83,1.0
